Num_Acc;senc;catv;occutc;obs;obsm;choc;manv;num_veh
2,016E+11;2;15;0;0;2;8;1;A01
2,016E+11;1;7;0;0;2;1;1;B02
2,016E+11;2;33;0;15;0;1;0;A01
2,016E+11;1;7;0;0;2;1;1;B02
2,016E+11;1;7;0;0;2;2;1;C03
2,016E+11;2;7;0;0;2;1;14;A01
2,016E+11;2;7;0;8;0;1;0;A01
2,016E+11;0;7;0;0;2;3;5;B02
2,016E+11;0;3;0;12;0;3;5;A01
2,016E+11;1;7;0;2;0;3;19;A01
2,016E+11;0;7;0;0;2;8;13;A01
2,016E+11;0;7;0;0;2;1;1;B02
2,016E+11;1;7;0;0;2;1;1;B02
2,016E+11;2;7;0;0;2;1;5;A01
2,016E+11;0;33;0;0;0;8;1;A01
2,016E+11;2;7;0;5;0;1;1;A01
2,016E+11;0;33;0;0;2;1;1;A01
2,016E+11;0;10;0;0;2;1;2;B02
2,016E+11;0;7;0;0;1;2;1;A01
2,016E+11;0;16;0;0;2;3;2;A01
2,016E+11;0;15;0;0;2;5;17;B02
2,016E+11;0;7;0;0;1;3;0;A01
2,016E+11;0;7;0;14;2;2;21;A01
2,016E+11;0;7;0;0;2;1;13;A01
2,016E+11;0;33;0;0;2;1;1;B02
2,016E+11;0;7;0;0;1;2;1;A01
2,016E+11;1;33;0;13;0;1;1;A01
2,016E+11;0;32;0;0;2;1;1;A01
2,016E+11;0;7;0;0;2;2;1;B02
2,016E+11;0;7;0;0;2;1;17;A01
2,016E+11;0;7;0;0;0;1;1;B02
2,016E+11;2;7;0;2;0;3;1;A01
2,016E+11;1;33;0;0;1;1;18;A01
2,016E+11;0;7;0;0;0;1;1;A01
2,016E+11;2;2;0;15;0;1;1;A01
2,016E+11;1;10;0;6;0;1;0;A01
2,016E+11;2;15;0;14;0;0;1;A01
2,016E+11;1;2;0;0;9;0;1;B02
2,016E+11;1;15;0;0;2;2;1;A01
2,016E+11;0;30;0;0;2;7;1;B02
2,016E+11;2;2;0;0;2;4;2;B02
2,016E+11;2;7;0;0;2;2;2;A01
2,016E+11;0;38;0;0;1;2;1;A01
2,016E+11;1;7;0;0;2;2;5;A01
2,016E+11;2;15;0;0;2;3;0;B02
2,016E+11;2;7;0;6;0;1;1;A01
2,016E+11;0;7;0;0;1;3;1;A01
2,016E+11;2;7;0;0;1;3;1;A01
2,016E+11;1;33;0;13;0;1;0;A01
2,016E+11;1;30;0;0;0;1;1;A01
2,016E+11;1;33;0;6;0;1;14;A01
2,016E+11;2;7;0;0;2;7;11;B02
2,016E+11;1;33;0;0;2;2;1;A01
2,016E+11;0;7;0;0;2;3;17;A01
2,016E+11;0;35;0;0;2;7;21;B02
2,016E+11;1;7;0;14;0;1;1;A01
2,016E+11;1;7;0;0;2;3;19;A01
2,016E+11;2;1;0;0;2;1;19;B02
2,016E+11;2;7;0;0;1;2;1;A01
2,016E+11;0;2;0;0;0;4;1;B02
2,016E+11;0;2;0;0;0;1;2;A01
2,016E+11;0;7;0;0;1;2;1;A01
2,016E+11;0;7;0;0;2;1;1;B02
2,016E+11;0;7;0;0;2;8;0;C03
2,016E+11;0;7;0;0;2;1;11;A01
2,016E+11;1;1;0;0;2;2;1;B02
2,016E+11;2;10;0;0;2;6;4;A01
2,016E+11;2;7;0;0;1;1;1;A01
2,016E+11;2;7;0;0;2;5;15;A01
2,016E+11;2;33;0;0;2;1;1;B02
2,016E+11;0;1;0;0;2;0;0;B02
2,016E+11;0;7;0;0;9;2;19;A01
2,016E+11;1;7;0;0;1;2;1;A01
2,016E+11;0;2;0;0;2;1;17;A01
2,016E+11;0;7;0;0;0;8;15;B02
2,016E+11;1;7;0;0;1;1;1;A01
2,016E+11;0;10;0;0;0;0;15;A01
2,016E+11;0;33;0;0;2;0;1;B02
2,016E+11;0;33;0;11;0;1;0;A01
2,016E+11;0;33;0;0;0;0;1;A01
2,016E+11;0;7;0;0;2;1;1;B02
2,016E+11;0;7;0;14;2;3;13;A01
2,016E+11;2;34;0;0;2;4;1;B02
2,016E+11;2;7;0;14;0;1;17;C03
2,016E+11;2;7;0;0;2;1;2;A01
2,016E+11;2;30;0;0;0;3;1;A01
2,016E+11;1;7;0;2;0;2;1;A01
2,016E+11;1;33;0;12;0;0;1;A01
2,016E+11;1;7;0;13;0;2;1;A01
2,016E+11;2;7;0;13;0;3;1;A01
2,016E+11;0;7;0;14;0;1;1;A01
2,016E+11;0;7;0;0;2;3;1;A01
2,016E+11;0;7;0;0;2;3;1;B02
2,016E+11;1;10;0;0;2;1;1;C03
2,016E+11;2;17;0;0;2;1;1;B02
2,016E+11;1;7;0;0;2;2;1;A01
2,016E+11;0;37;0;1;1;5;16;A01
2,016E+11;0;33;0;13;0;1;1;A01
2,016E+11;0;31;0;0;2;0;2;B02
2,016E+11;0;2;0;0;2;8;11;A01
2,016E+11;2;7;0;0;1;3;1;A01
2,016E+11;0;30;0;0;0;0;0;A01
2,016E+11;0;7;0;0;2;1;0;C03
2,016E+11;0;7;0;0;2;1;13;A01
2,016E+11;0;7;0;0;2;1;0;B02
2,016E+11;2;7;0;2;9;3;1;A01
2,016E+11;2;14;0;0;0;0;1;B02
2,016E+11;1;7;0;2;0;1;14;A01
2,016E+11;1;7;0;0;2;3;13;A01
2,016E+11;2;7;0;0;2;3;2;B02
2,016E+11;2;38;0;0;2;3;1;A01
2,016E+11;1;17;0;0;2;3;13;B03
2,016E+11;2;17;0;0;0;4;0;A01
2,016E+11;2;10;0;0;2;1;2;B02
2,016E+11;2;10;0;1;0;1;2;C03
2,016E+11;2;7;0;4;0;3;13;A01
2,016E+11;2;33;0;0;2;1;1;A01
2,016E+11;2;7;0;0;0;6;1;B02
2,016E+11;2;7;0;0;0;6;0;A01
2,016E+11;2;7;0;0;2;2;17;B02
2,016E+11;1;7;0;0;0;4;23;A01
2,016E+11;0;7;0;0;0;4;23;B02
2,016E+11;2;7;0;0;0;1;2;C03
2,016E+11;1;17;0;4;0;3;1;A01
2,016E+11;1;33;0;0;2;3;11;A01
2,016E+11;1;10;0;0;0;5;1;B02
2,016E+11;1;7;0;0;2;3;2;A01
2,016E+11;1;10;0;0;2;5;2;B02
2,016E+11;1;17;0;0;0;6;2;B01
2,016E+11;1;10;0;0;2;2;2;C02
2,016E+11;2;17;0;0;0;0;2;B01
2,016E+11;2;7;0;4;2;2;17;C02
2,016E+11;2;7;0;6;2;3;11;A01
2,016E+11;2;7;0;0;2;7;2;B02
2,016E+11;1;7;0;0;0;9;1;A01
2,016E+11;1;15;0;0;0;8;1;B02
2,016E+11;2;1;0;0;0;0;0;A01
2,016E+11;2;10;0;8;2;7;14;B02
2,016E+11;0;33;0;0;2;1;1;A01
2,016E+11;0;7;0;0;2;8;1;B02
2,016E+11;1;21;0;0;9;5;2;A01
2,016E+11;2;1;0;0;2;0;2;B02
2,016E+11;0;1;0;1;0;1;1;A01
2,016E+11;2;7;0;0;9;0;1;A01
2,016E+11;1;33;0;0;0;0;2;A01
2,016E+11;0;33;0;0;0;2;1;A01
2,016E+11;1;7;0;0;1;7;1;A01
2,016E+11;1;7;0;0;2;2;19;B02
2,016E+11;2;7;0;0;2;1;1;A01
2,016E+11;0;7;0;0;2;7;19;A01
2,016E+11;1;15;0;0;2;1;1;B02
2,016E+11;1;7;0;0;1;4;23;A01
2,016E+11;1;10;0;0;2;1;2;B02
2,016E+11;2;7;0;2;0;1;1;A01
2,016E+11;2;33;0;0;0;0;1;A01
2,016E+11;2;33;0;0;0;7;1;A01
2,016E+11;1;7;0;13;0;9;1;A01
2,016E+11;2;10;0;0;2;1;1;A01
2,016E+11;1;10;0;0;2;1;15;B02
2,016E+11;0;7;0;0;1;2;1;A01
2,016E+11;1;7;0;15;0;1;1;A01
2,016E+11;2;7;0;0;2;1;1;A01
2,016E+11;1;7;0;0;2;2;13;B02
2,016E+11;2;7;0;14;0;1;1;C03
2,016E+11;1;30;0;0;0;7;2;A01
2,016E+11;0;21;0;0;0;1;1;A01
2,016E+11;1;7;0;0;2;1;2;A01
2,016E+11;1;21;0;0;0;4;1;B02
2,016E+11;0;7;0;0;2;3;15;A01
2,016E+11;0;7;0;0;2;1;1;B02
2,016E+11;1;7;0;0;9;5;2;A01
2,016E+11;1;3;0;0;0;4;2;B02
