Num_Acc;an;mois;jour;hrmn;lum;agg;int;atm;col;com;adr;gps;lat;long;dep
2,016E+11;16;9;13;2000;2;1;1;1;1;450;;M;5043790;231791;620
2,016E+11;16;9;14;1830;1;2;3;1;1;519;88 rue de Laires;M;5051755;222933;620
2,016E+11;16;9;18;1600;1;1;1;2;5;514;;M;5073800;261500;620
2,016E+11;16;9;29;2145;3;1;1;2;6;686;;M;5037609;230046;620
2,016E+11;16;11;1;1815;2;1;1;1;3;260;;M;5038686;224794;620
2,016E+11;16;11;4;1300;1;1;1;1;3;767;;M;5037949;234032;620
2,016E+11;16;12;12;1200;1;1;1;1;3;835;;M;5042300;238600;620
2,016E+11;16;12;24;900;1;1;1;1;7;835;;M;5044347;237785;620
2,016E+11;16;2;27;1615;1;1;1;1;7;385;;M;5025907;249070;620
2,016E+11;16;2;29;700;1;1;1;9;6;316;;M;5027036;240308;620
2,016E+11;16;7;10;1900;1;1;1;1;6;785;;M;5036528;255533;620
2,016E+11;16;7;31;845;1;1;2;1;1;198;;M;5038909;262265;620
2,016E+11;16;9;5;715;1;1;1;2;7;802;;M;5022980;236257;620
2,016E+11;16;11;14;630;3;1;1;5;6;536;;M;5043199;250779;620
2,016E+11;16;11;28;915;1;1;1;1;1;61;;M;5035155;245045;620
2,016E+11;16;12;2;1930;5;2;1;8;3;784;rue de faune;M;5020516;253364;620
2,016E+11;16;12;29;45;3;1;1;5;6;630;;M;5028724;253958;620
2,016E+11;16;4;16;1445;1;1;1;1;6;415;;M;5033273;263768;620
2,016E+11;16;7;10;1800;1;1;1;1;6;45;;M;5034508;258257;620
2,016E+11;16;7;9;1430;1;2;1;1;6;695;rue principale;M;5026369;236958;620
2,016E+11;16;9;27;1700;1;2;1;1;3;732;95, Rte du TREPORT;M;4989177;171651;800
2,016E+11;16;9;29;1415;1;2;1;1;6;554;23 ter GENERAL LECLERC;M;4988409;201978;800
2,016E+11;16;5;13;1800;1;1;1;1;6;798;RD 113;M;5000521;233710;800
2,016E+11;16;8;31;1630;1;1;1;1;1;385;RD 40;M;5012513;180144;800
2,016E+11;16;2;23;2130;3;1;1;5;6;110;RD 940;M;5017462;168118;800
2,016E+11;16;4;12;1630;1;1;1;1;1;618;RD 940;M;5017968;158727;800
2,016E+11;16;6;25;1500;1;2;2;1;3;287;VC N°6;M;5015432;160979;800
2,016E+11;16;8;2;1230;1;1;8;2;3;721;VC (rue des canadiens);M;5017586;162009;800
